iter	MultiClass
0	1.463722194
1	1.347508413
2	1.259008637
3	1.186964851
4	1.130790587
5	1.08541721
6	1.042468057
7	1.008140508
8	0.9773725153
9	0.9512615751
10	0.928259142
11	0.9053589353
12	0.8892763768
13	0.876416051
14	0.8645608361
15	0.8548928127
16	0.845223577
17	0.8368742523
18	0.8274021584
19	0.8192522364
20	0.8131715132
21	0.8049239798
22	0.796871858
23	0.791826512
24	0.786317598
25	0.7811106229
26	0.7772238915
27	0.7728867177
28	0.7694400295
29	0.7660925829
30	0.7624709412
31	0.758976139
32	0.7560837556
33	0.752802006
34	0.7508556009
35	0.7488556629
36	0.7459295459
37	0.7433448739
38	0.7409678919
39	0.7385112035
40	0.7352877542
41	0.7335255742
42	0.7308211304
43	0.7284193739
44	0.7255031417
45	0.7231764116
46	0.7212460085
47	0.7185542563
48	0.7171917041
49	0.7144377837
50	0.713307426
51	0.7115566737
52	0.7094845061
53	0.7080672056
54	0.7054152801
55	0.7028430946
56	0.701183638
57	0.699280693
58	0.6980308923
59	0.6958642355
60	0.6940148417
61	0.6920855736
62	0.6905982566
63	0.6886406886
64	0.6873761995
65	0.6857367963
66	0.6836473053
67	0.6824091527
68	0.6809266781
69	0.6794366451
70	0.6776124779
71	0.676149028
72	0.6746279792
73	0.6734541906
74	0.6711900587
75	0.6696693282
76	0.6675679265
77	0.6657024713
78	0.6641416873
79	0.6624300113
80	0.6608133126
81	0.6588136221
82	0.6573980994
83	0.6560110689
84	0.6540312272
85	0.6521717237
86	0.6509618679
87	0.6497921152
88	0.6480192757
89	0.6465968034
90	0.6451403096
91	0.6440370289
92	0.642609157
93	0.6411836213
94	0.6396968143
95	0.6381572733
96	0.6365078195
97	0.635592629
98	0.634593512
99	0.6330061747
