iter	Passed	Remaining
0	105	10436
1	149	7345
2	190	6148
3	229	5509
4	270	5141
5	310	4872
6	351	4673
7	392	4516
8	433	4380
9	476	4284
10	516	4182
11	555	4076
12	596	3988
13	635	3903
14	674	3823
15	713	3747
16	752	3674
17	800	3646
18	843	3594
19	883	3534
20	922	3469
21	961	3410
22	1001	3352
23	1040	3296
24	1080	3240
25	1119	3185
26	1160	3136
27	1199	3084
28	1238	3032
29	1279	2985
30	1319	2937
31	1359	2888
32	1400	2843
33	1444	2803
34	1485	2759
35	1526	2713
36	1567	2668
37	1607	2623
38	1648	2578
39	1688	2532
40	1729	2488
41	1769	2443
42	1810	2399
43	1851	2356
44	1891	2311
45	1931	2267
46	1971	2223
47	2012	2180
48	2052	2135
49	2093	2093
50	2134	2050
51	2174	2007
52	2215	1964
53	2255	1921
54	2296	1878
55	2336	1835
56	2376	1793
57	2416	1749
58	2455	1706
59	2495	1663
60	2534	1620
61	2572	1576
62	2611	1533
63	2650	1490
64	2689	1448
65	2729	1405
66	2768	1363
67	2808	1321
68	2846	1279
69	2885	1236
70	2925	1195
71	2964	1152
72	3004	1111
73	3045	1069
74	3084	1028
75	3124	986
76	3165	945
77	3206	904
78	3246	862
79	3285	821
80	3324	779
81	3363	738
82	3403	697
83	3442	655
84	3481	614
85	3520	573
86	3558	531
87	3597	490
88	3637	449
89	3678	408
90	3717	367
91	3756	326
92	3798	285
93	3840	245
94	3882	204
95	3923	163
96	3964	122
97	4005	81
98	4046	40
99	4087	0
