,age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
0,18,F,Village,Platinum Membership,2017-08-17,No,Gift Vouchers/Coupons,?,Wi-Fi,17,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,2
1,32,F,City,Premium Membership,2017-08-28,?,Gift Vouchers/Coupons,Desktop,Mobile_Data,16,306.34,12838.38,10.0,,Yes,No,Yes,Solved,Quality Customer Care,1
2,44,F,Town,No Membership,2016-11-11,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,5
3,37,M,City,No Membership,2016-10-29,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,5
4,31,F,City,No Membership,2017-09-12,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,5
5,13,M,City,Gold Membership,2016-01-08,No,Gift Vouchers/Coupons,?,Wi-Fi,23,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,No reason specified,3
6,21,M,Town,Gold Membership,2015-03-19,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,3
7,42,M,,No Membership,2016-07-12,?,Credit/Debit Card Offers,Both,Fiber_Optic,19,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,5
8,44,M,Village,Silver Membership,2016-12-14,No,Without Offers,Smartphone,Fiber_Optic,15,191.07,18362.31,20.0,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
9,45,F,Town,No Membership,2016-11-30,No,Gift Vouchers/Coupons,?,Wi-Fi,10,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,4
10,25,F,Village,Basic Membership,2016-05-22,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,14,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,5
11,60,M,City,Gold Membership,2016-01-13,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,55.53,41672.02,33.02434314076341,798.12,Yes,No,No,Not Applicable,Too many ads,3
12,11,M,Town,No Membership,2015-01-31,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,4
13,34,M,City,Basic Membership,2016-12-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10,89.76,21318.19,6.0,,No,Yes,No,Not Applicable,Poor Product Quality,4
14,40,M,City,Premium Membership,2016-11-19,No,Without Offers,?,Fiber_Optic,20,100.59,14842.62,26.0,,No,Yes,No,Not Applicable,Poor Website,3
15,16,F,Town,Basic Membership,2017-07-09,?,Credit/Debit Card Offers,Smartphone,Fiber_Optic,-999,30.14,18792.31,7.0,141.5132013118415,Yes,No,Yes,Unsolved,Too many ads,5
16,57,F,City,No Membership,2016-01-27,No,Without Offers,?,Wi-Fi,5,333.34,47241.32,8.0,,Yes,Yes,Yes,Solved in Follow-up,Too many ads,5
17,11,M,Town,Silver Membership,2017-01-02,Yes,Gift Vouchers/Coupons,?,Wi-Fi,12,275.13,29072.86,26.0,733.97,Yes,No,No,Not Applicable,Poor Customer Service,3
18,39,M,Town,No Membership,2017-11-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,241.74,33170.16,6.0,551.11,Yes,No,Yes,No Information Available,No reason specified,5
19,45,M,City,Premium Membership,2016-02-03,No,Without Offers,?,Mobile_Data,14,31.15,66982.61,8.0,164.80076897738957,Yes,No,Yes,Unsolved,Products always in Stock,2
20,33,M,Village,No Membership,2015-12-03,No,Without Offers,Desktop,Wi-Fi,15,49.86,44289.97,25.0,703.96,Yes,No,No,Not Applicable,Poor Customer Service,4
21,30,M,Village,No Membership,2016-07-29,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,30.37,49404.86,23.0,630.61,Yes,No,Yes,No Information Available,Poor Website,5
22,19,F,Town,Platinum Membership,2017-01-22,No,Gift Vouchers/Coupons,?,Mobile_Data,15,483.03,52702.67,3.0,389.3564431980522,No,Yes,Yes,No Information Available,User Friendly Website,2
24,43,M,City,No Membership,2015-08-14,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,108.3,21725.57,21.0,225.00442762412777,No,Yes,No,Not Applicable,Poor Website,4
25,29,F,Town,Silver Membership,2016-04-09,No,Without Offers,Desktop,Fiber_Optic,18,300.38,12069.06,7.0,777.31,No,Yes,No,Not Applicable,Too many ads,3
26,10,M,City,Gold Membership,2015-11-10,Yes,Credit/Debit Card Offers,?,Wi-Fi,1,100.65,8515.5,6.0,757.7,Yes,No,No,Not Applicable,No reason specified,3
27,20,F,Village,No Membership,2016-12-08,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,272.31,42743.44,12.0,687.26,Yes,No,No,Not Applicable,Poor Product Quality,5
28,61,F,Village,Silver Membership,2017-05-14,?,Gift Vouchers/Coupons,?,Fiber_Optic,17,-936.7448179192272,29156.1,10.0,710.38,Yes,No,Yes,No Information Available,No reason specified,4
29,10,M,Town,Gold Membership,2016-01-12,No,Credit/Debit Card Offers,?,Wi-Fi,4,127.37,15719.24,10.0,634.88,Yes,No,Yes,Unsolved,Poor Website,4
30,17,F,City,No Membership,2015-11-25,?,Without Offers,Desktop,Fiber_Optic,20,162.93,31100.95,11.0,633.05,No,Yes,Yes,Solved,Too many ads,5
31,60,M,Town,No Membership,2016-11-02,Yes,Without Offers,Desktop,Fiber_Optic,18,498.09,48125.94,27.0,,No,Yes,No,Not Applicable,Poor Product Quality,5
32,11,F,,Gold Membership,2016-07-28,Yes,Without Offers,Desktop,Wi-Fi,10,185.53,60143.68,4.0,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,1
33,60,M,City,Gold Membership,2017-07-02,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,11,537.25,1773.49,6.0,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,3
34,12,M,City,Premium Membership,2015-03-02,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,198.26,26105.24,7.0,721.36,Yes,No,No,Not Applicable,Poor Customer Service,3
35,52,M,Town,Silver Membership,2015-10-08,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9,119.47,10101.48,28.0,158.54776452544024,Yes,No,No,Not Applicable,Poor Website,4
36,30,M,City,Basic Membership,2016-10-13,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,68.19,21111.9,23.0,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,5
37,26,M,,No Membership,2017-11-29,Yes,Without Offers,Desktop,Wi-Fi,3,215.89,41979.65,9.0,,No,Yes,No,Not Applicable,Too many ads,5
38,26,F,Town,No Membership,2017-07-01,Yes,Without Offers,Desktop,Wi-Fi,20,194.85,5912.06,13.0,568.34,Yes,No,No,Not Applicable,Too many ads,5
39,49,F,Village,Platinum Membership,2017-06-09,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,8,706.36,19062.25,,780.58,Yes,No,No,Not Applicable,Poor Product Quality,3
40,24,M,City,Premium Membership,2016-10-10,?,Without Offers,Desktop,Fiber_Optic,15,210.44,35531.98,25.0,745.49,Yes,No,No,Not Applicable,Poor Product Quality,3
41,22,M,Town,No Membership,2017-06-02,Yes,Without Offers,?,Wi-Fi,4,-930.2078443168743,8415.63,17.0,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,5
42,33,F,Town,Premium Membership,2017-02-02,?,Credit/Debit Card Offers,Desktop,Wi-Fi,12,394.26,34697.85,19.0,752.3,Yes,No,Yes,No Information Available,Poor Website,3
43,17,M,City,Platinum Membership,2015-12-20,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,348.07,94100.72,4.0,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,1
44,36,M,Village,Silver Membership,2016-11-28,Yes,Gift Vouchers/Coupons,?,Mobile_Data,2,691.09,17989.46,,,No,Yes,Yes,Solved,No reason specified,4
45,12,M,City,Premium Membership,2017-02-13,No,Without Offers,Desktop,Mobile_Data,8,33.09,55607.35,,,Yes,No,No,Not Applicable,User Friendly Website,1
46,58,F,Village,Gold Membership,2017-11-09,No,Without Offers,Smartphone,Mobile_Data,11,30.78,48080.03,10.0,713.62,Yes,No,No,Not Applicable,Poor Product Quality,3
47,41,M,Town,Platinum Membership,2016-11-20,No,Without Offers,Both,Fiber_Optic,13,282.87,27528.03,27.0,743.8,Yes,No,No,Not Applicable,Poor Website,3
48,30,M,City,Platinum Membership,2015-12-11,?,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20,100.42,86433.91,,719.93,No,Yes,Yes,Unsolved,Reasonable Price,2
49,50,M,City,Premium Membership,2015-10-25,No,Credit/Debit Card Offers,Desktop,Wi-Fi,18,154.7,24197.4,29.0,,No,Yes,Yes,Solved,Too many ads,3
51,38,M,Town,Gold Membership,2017-10-15,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,324.75,28535.13,27.0,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,3
52,20,M,City,Silver Membership,2015-01-27,Yes,Without Offers,Desktop,Fiber_Optic,16,237.39,25000.09,16.0,704.4,No,Yes,No,Not Applicable,Poor Website,4
53,35,F,Village,Gold Membership,2016-10-30,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,148.24,30984.56,11.0,729.04,Yes,No,No,Not Applicable,Poor Customer Service,3
54,43,M,Town,Premium Membership,2017-04-26,Yes,Without Offers,Both,Wi-Fi,16,773.83,9091.94,20.0,700.4,No,Yes,No,Not Applicable,Poor Product Quality,3
55,32,M,City,Silver Membership,2017-07-24,Yes,Without Offers,?,Fiber_Optic,13,117.68,19822.82,43.36004149963438,,Yes,No,No,Not Applicable,Too many ads,3
56,40,F,Town,Platinum Membership,2015-08-22,?,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,251.06,63416.63,12.0,1087.184702164714,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2
57,40,F,Town,Silver Membership,2017-08-21,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,-999,46.57,24045.93,8.0,709.73,No,Yes,No,Not Applicable,Poor Product Quality,3
58,48,F,Town,No Membership,2017-03-17,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,539.49,49270.76,12.0,503.95,Yes,No,No,Not Applicable,Too many ads,5
59,35,M,Town,Premium Membership,2015-05-11,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.48,48679.07,6.0,779.59,Yes,No,No,Not Applicable,Poor Product Quality,3
60,28,M,Village,Gold Membership,2017-05-17,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9,-615.344318961141,13131.05,13.0,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,1
61,44,F,,No Membership,2016-08-23,Yes,Without Offers,Both,Wi-Fi,13,283.49,7603.71,,553.45,Yes,Yes,Yes,Unsolved,No reason specified,5
64,10,M,,Basic Membership,2015-06-08,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,31.67,25436.23,,656.67,No,Yes,No,Not Applicable,Poor Website,4
65,35,M,Town,No Membership,2017-11-27,Yes,Without Offers,Smartphone,Mobile_Data,4,157.03,22975.33,18.0,548.1,No,Yes,No,Not Applicable,Poor Website,5
66,43,M,Town,No Membership,2015-04-06,No,Credit/Debit Card Offers,?,Mobile_Data,11,227.23,29602.15,24.0,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,4
67,28,M,Village,Basic Membership,2017-10-29,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,4,457.33,20883.28,14.0,-549.3574976761337,No,Yes,No,Not Applicable,Too many ads,5
68,53,M,Town,Platinum Membership,2017-01-27,No,Without Offers,?,Fiber_Optic,6,228.02,46353.54,19.0,302.005898539957,Yes,No,Yes,No Information Available,No reason specified,3
69,55,F,Town,Premium Membership,2017-09-03,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,42.77,8996.95,,749.56,Yes,No,Yes,Unsolved,Poor Website,3
70,59,F,Town,No Membership,2017-06-08,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,-999,207.52,12556.28,10.0,-44.597632583960205,No,Yes,No,Not Applicable,No reason specified,4
71,39,M,City,No Membership,2016-12-01,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,98.57,2645.63,23.0,674.42,No,Yes,No,Not Applicable,Poor Product Quality,5
72,11,M,City,Gold Membership,2016-06-22,No,Credit/Debit Card Offers,?,Wi-Fi,23,176.31,8983.02,25.0,707.46,No,Yes,Yes,Solved,Poor Product Quality,4
73,37,M,Village,No Membership,2016-05-17,?,Without Offers,Both,Mobile_Data,17,687.16,29101.96,18.0,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,4
74,53,M,City,No Membership,2017-04-06,No,Credit/Debit Card Offers,Desktop,Wi-Fi,-999,253.96,19233.1,25.0,1032.199126230719,Yes,No,Yes,Solved,Poor Website,5
75,57,M,Town,No Membership,2016-01-02,No,Without Offers,Desktop,Fiber_Optic,13,119.1,44341.82,,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,5
76,47,M,Town,Silver Membership,2015-07-22,?,Without Offers,?,Wi-Fi,10,131.86,26399.43,17.0,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,3
77,50,M,Town,Gold Membership,2015-01-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,19,65.39,17054.69,21.0,353.3690014856328,No,Yes,Yes,Solved,No reason specified,3
78,49,F,City,Silver Membership,2016-08-25,Yes,Gift Vouchers/Coupons,?,Wi-Fi,3,74.9,41612.23,28.0,1196.5693152600402,No,Yes,Yes,Solved in Follow-up,No reason specified,4
79,54,M,Town,Silver Membership,2017-06-21,?,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,-687.6295740289631,42060.89,24.0,684.69,Yes,No,Yes,No Information Available,Poor Website,4
80,30,M,Village,Gold Membership,2016-09-17,No,Without Offers,Desktop,Fiber_Optic,9,97.74,32347.7,27.0,,No,Yes,No,Not Applicable,Poor Customer Service,3
81,25,F,City,Silver Membership,2015-08-20,?,Without Offers,?,Mobile_Data,13,135.21,3561.26,17.0,,Yes,No,Yes,Solved,Too many ads,3
